Source Well,Destination Well,Transfer Volume
A3,Q7,2.5
A3,Q8,2.5
A3,Q9,2.5
A2,Q10,2.5
A3,Q11,2.5
A3,Q12,2.5
A2,Q13,2.5
A3,Q14,2.5
A3,Q15,2.5
A3,Q16,2.5
A3,Q17,2.5
A3,Q18,2.5
A3,Q19,2.5
A3,Q20,2.5
A3,Q21,2.5
A3,Q22,2.5
A2,Q23,2.5
A3,Q24,2.5
A3,Q25,2.5
A3,Q26,2.5
A3,Q27,2.5
A3,Q28,2.5
A3,Q29,2.5
A2,Q30,2.5
A3,Q31,2.5
A3,Q32,2.5
A3,Q33,2.5
A3,Q34,2.5
A3,Q35,2.5
A3,Q36,2.5
A3,Q37,2.5
A3,Q38,2.5
A3,Q39,2.5
A3,Q40,2.5
A3,Q41,2.5
A2,Q42,2.5
A3,Q43,2.5
A3,Q44,2.5
A2,Q45,2.5
A3,Q46,2.5
A3,Q47,2.5
A3,Q48,2.5
A3,Q49,2.5
A3,Q50,2.5
A3,Q51,2.5
A3,Q52,2.5
A2,Q53,2.5
A3,Q54,2.5
A3,Q55,2.5
A3,Q56,2.5
A3,Q57,2.5
A3,Q58,2.5
A2,Q59,2.5
A3,Q60,2.5
A3,Q61,2.5
A3,Q62,2.5
A3,Q63,2.5
A3,Q64,2.5
A3,Q65,2.5
A3,Q66,2.5
A3,Q67,2.5
A2,Q68,2.5
A3,Q69,2.5
A3,Q70,2.5
A2,Q71,2.5
A3,Q72,2.5
A3,Q73,2.5
A2,Q74,2.5
A3,Q75,2.5
A3,Q76,2.5
A3,Q77,2.5
A3,Q78,2.5
A2,Q79,2.5
A3,Q80,2.5
A2,Q81,2.5
A3,Q82,2.5
A3,Q83,2.5
A3,Q84,2.5
A3,Q85,2.5
A3,Q86,2.5
A2,Q87,2.5
A3,Q88,2.5
A3,Q89,2.5
A3,Q90,2.5
A2,Q91,2.5
A3,Q92,2.5
A3,Q93,2.5
A3,Q94,2.5
A3,Q95,2.5
A3,Q96,2.5
A3,R7,2.5
A3,R8,2.5
A2,R9,2.5
A2,R10,2.5
A2,R11,2.5
A2,R12,2.5
A3,R13,2.5
A2,R14,2.5
A2,R15,2.5
A3,R16,2.5
A2,R17,2.5
A2,R18,2.5
A2,R19,2.5
A3,R20,2.5
A3,R21,2.5
A2,R22,2.5
A2,R23,2.5
A2,R24,2.5
A3,R25,2.5
A3,R26,2.5
A2,R27,2.5
A3,R28,2.5
A2,R29,2.5
A3,R30,2.5
A2,R31,2.5
A3,R32,2.5
A2,R33,2.5
A2,R34,2.5
A3,R35,2.5
A2,R36,2.5
A3,R37,2.5
A2,R38,2.5
A2,R39,2.5
A2,R40,2.5
A2,R41,2.5
A3,R42,2.5
A3,R43,2.5
A2,R44,2.5
A3,R45,2.5
A3,R46,2.5
A2,R47,2.5
A2,R48,2.5
A2,R49,2.5
A2,R50,2.5
A2,R51,2.5
A2,R52,2.5
A3,R53,2.5
A2,R54,2.5
A2,R55,2.5
A2,R56,2.5
A2,R57,2.5
A2,R58,2.5
A2,R59,2.5
A2,R60,2.5
A2,R61,2.5
A2,R62,2.5
A2,R63,2.5
A2,R64,2.5
A2,R65,2.5
A2,R66,2.5
A2,R67,2.5
A2,R68,2.5
A2,R69,2.5
A2,R70,2.5
A3,R71,2.5
A2,R72,2.5
A2,R73,2.5
A2,R74,2.5
A3,R75,2.5
A2,R76,2.5
A2,R77,2.5
A2,R78,2.5
A2,R79,2.5
A2,R80,2.5
A2,R81,2.5
A2,R82,2.5
A2,R83,2.5
A2,R84,2.5
A2,R85,2.5
A2,R86,2.5
A3,R87,2.5
A2,R88,2.5
A2,R89,2.5
A3,R90,2.5
A2,R91,2.5
A3,R92,2.5
A2,R93,2.5
A2,R94,2.5
A2,R95,2.5
A2,R96,2.5
A3,S7,2.5
A3,S8,2.5
A3,S9,2.5
A3,S10,2.5
A3,S11,2.5
A3,S12,2.5
A3,S13,2.5
A3,S14,2.5
A3,S15,2.5
A3,S16,2.5
A3,S17,2.5
A3,S18,2.5
A3,S19,2.5
A3,S20,2.5
A3,S21,2.5
A3,S22,2.5
A3,S23,2.5
A3,S24,2.5
A3,S25,2.5
A3,S26,2.5
A3,S27,2.5
A3,S28,2.5
