Source Well,Destination Well,Transfer Volume
A2,AQ105,2.5
A2,AQ106,2.5
A2,AQ107,2.5
A2,AQ108,2.5
A1,AQ109,2.5
A1,AQ110,2.5
A2,AQ111,2.5
A2,AQ112,2.5
A2,AQ113,2.5
A2,AQ114,2.5
A2,AQ115,2.5
A2,AQ116,2.5
A2,AQ117,2.5
A1,AQ118,2.5
A1,AQ119,2.5
A2,AQ120,2.5
A2,AQ121,2.5
A2,AQ122,2.5
A2,AQ123,2.5
A2,AQ124,2.5
A2,AQ125,2.5
A2,AQ126,2.5
A2,AQ127,2.5
A2,AQ128,2.5
A2,AQ129,2.5
A2,AQ130,2.5
A2,AQ131,2.5
A2,AQ132,2.5
A2,AQ133,2.5
A2,AQ134,2.5
A2,AQ135,2.5
A2,AQ136,2.5
A2,AQ137,2.5
A2,AQ138,2.5
A2,AQ139,2.5
A2,AQ140,2.5
A2,AQ141,2.5
A2,AQ142,2.5
A2,AQ143,2.5
A2,AQ144,2.5
A2,AQ145,2.5
A2,AQ146,2.5
A2,AQ147,2.5
A2,AQ148,2.5
A2,AQ149,2.5
A2,AQ150,2.5
A2,AQ151,2.5
A2,AQ152,2.5
A2,AQ153,2.5
A2,AQ154,2.5
A2,AQ155,2.5
A2,AQ156,2.5
A2,AQ157,2.5
A2,AQ158,2.5
A2,AQ159,2.5
A2,AQ160,2.5
A2,AQ161,2.5
A2,AQ162,2.5
A2,AQ163,2.5
A2,AQ164,2.5
A2,AQ165,2.5
A2,AQ166,2.5
A2,AQ167,2.5
A2,AQ168,2.5
A2,AQ169,2.5
A2,AQ170,2.5
A1,AQ171,2.5
A2,AQ172,2.5
A2,AQ173,2.5
A1,AQ174,2.5
A1,AQ175,2.5
A2,AQ176,2.5
A2,AQ177,2.5
A1,AQ178,2.5
A1,AQ179,2.5
A2,AQ180,2.5
A2,AQ181,2.5
A2,AQ182,2.5
A2,AQ183,2.5
A2,AQ184,2.5
A2,AQ185,2.5
A2,AQ186,2.5
A2,AQ187,2.5
A2,AQ188,2.5
A2,AQ189,2.5
A2,AR4,2.5
A2,AR5,2.5
A2,AR6,2.5
A2,AR7,2.5
A2,AR8,2.5
A2,AR9,2.5
A2,AR10,2.5
A2,AR11,2.5
A2,AR12,2.5
A2,AR13,2.5
A1,AR14,2.5
A1,AR15,2.5
A2,AR16,2.5
A2,AR17,2.5
A2,AR18,2.5
A2,AR19,2.5
A2,AR20,2.5
A2,AR21,2.5
A2,AR22,2.5
A2,AR23,2.5
A2,AR24,2.5
A2,AR25,2.5
A2,AR26,2.5
A2,AR27,2.5
A2,AR28,2.5
A2,AR29,2.5
A2,AR30,2.5
A2,AR31,2.5
A2,AR32,2.5
A2,AR33,2.5
A2,AR34,2.5
A2,AR35,2.5
A2,AR36,2.5
A2,AR37,2.5
A2,AR38,2.5
A2,AR39,2.5
A2,AR40,2.5
A2,AR41,2.5
A2,AR42,2.5
A2,AR43,2.5
A1,AR44,2.5
A2,AR45,2.5
A2,AR46,2.5
A2,AR47,2.5
A1,AR48,2.5
A1,AR49,2.5
A1,AR50,2.5
A1,AR51,2.5
A1,AR52,2.5
A1,AR53,2.5
A1,AR54,2.5
A1,AR55,2.5
A2,AR56,2.5
A2,AR57,2.5
A2,AR58,2.5
A2,AR59,2.5
A2,AR60,2.5
A2,AR61,2.5
A2,AR62,2.5
A1,AR63,2.5
A1,AR64,2.5
A2,AR65,2.5
A2,AR66,2.5
A2,AR67,2.5
A2,AR68,2.5
A2,AR69,2.5
