Source Well,Destination Well,Transfer Volume
A3,Q103,2.5
A3,Q104,2.5
A3,Q105,2.5
A3,Q106,2.5
A3,Q107,2.5
A3,Q108,2.5
A3,Q109,2.5
A3,Q110,2.5
A3,Q111,2.5
A3,Q112,2.5
A3,Q113,2.5
A3,Q114,2.5
A3,Q115,2.5
A3,Q116,2.5
A3,Q117,2.5
A3,Q118,2.5
A3,Q119,2.5
A3,Q120,2.5
A3,Q121,2.5
A3,Q122,2.5
A3,Q123,2.5
A3,Q124,2.5
A3,Q125,2.5
A3,Q126,2.5
A3,Q127,2.5
A3,Q128,2.5
A3,Q129,2.5
A3,Q130,2.5
A3,Q131,2.5
A3,Q132,2.5
A3,Q133,2.5
A3,Q134,2.5
A3,Q135,2.5
A3,Q136,2.5
A3,Q137,2.5
A3,Q138,2.5
A3,Q139,2.5
A3,Q140,2.5
A3,Q141,2.5
A3,Q142,2.5
A3,Q143,2.5
A3,Q144,2.5
A3,Q145,2.5
A3,Q146,2.5
A3,Q147,2.5
A3,Q148,2.5
A3,Q149,2.5
A3,Q150,2.5
A3,Q151,2.5
A3,Q152,2.5
A3,Q153,2.5
A3,Q154,2.5
A3,Q155,2.5
A3,Q156,2.5
A3,Q157,2.5
A3,Q158,2.5
A3,Q159,2.5
A3,Q160,2.5
A3,Q161,2.5
A3,Q162,2.5
A3,Q163,2.5
A3,Q164,2.5
A3,Q165,2.5
A3,Q166,2.5
A3,Q167,2.5
A3,Q168,2.5
A3,Q169,2.5
A3,Q170,2.5
A3,Q171,2.5
A3,Q172,2.5
A3,Q173,2.5
A3,Q174,2.5
A3,Q175,2.5
A3,Q176,2.5
A3,Q177,2.5
A3,Q178,2.5
A3,Q179,2.5
A3,Q180,2.5
A3,Q181,2.5
A1,Q182,2.5
A3,Q183,2.5
A3,Q184,2.5
A3,Q185,2.5
A2,Q186,2.5
A2,Q187,2.5
A3,R88,2.5
A3,R89,2.5
A3,R90,2.5
A3,R91,2.5
A1,R92,2.5
A1,R93,2.5
A3,R94,2.5
A3,R95,2.5
A3,R96,2.5
A3,R97,2.5
A3,R98,2.5
A3,R99,2.5
A1,R100,2.5
A1,R101,2.5
A3,R102,2.5
A3,R103,2.5
A3,R104,2.5
A3,R105,2.5
A3,R106,2.5
A1,R107,2.5
A1,R108,2.5
A3,R109,2.5
A3,R110,2.5
A3,R111,2.5
A3,R112,2.5
A3,R113,2.5
A3,R114,2.5
A1,R115,2.5
A3,R116,2.5
A3,R117,2.5
A3,R118,2.5
A3,R119,2.5
A3,R120,2.5
A3,R121,2.5
A3,R122,2.5
A3,R123,2.5
A3,R124,2.5
A3,R125,2.5
A3,R126,2.5
A3,R127,2.5
A3,R128,2.5
A3,R129,2.5
A3,R130,2.5
A3,R131,2.5
A3,R132,2.5
A3,R133,2.5
A3,R134,2.5
A3,R135,2.5
A3,R136,2.5
A1,R137,2.5
A3,R138,2.5
A3,R139,2.5
A3,R140,2.5
A3,R141,2.5
A3,R142,2.5
A3,R143,2.5
A3,R144,2.5
A1,R145,2.5
A3,R146,2.5
A3,R147,2.5
A3,R148,2.5
A3,R149,2.5
A3,R150,2.5
A3,R151,2.5
A1,R152,2.5
A3,R153,2.5
A3,R154,2.5
A3,R155,2.5
A3,R156,2.5
A3,R157,2.5
A3,R158,2.5
A3,R159,2.5
A3,R160,2.5
A3,R161,2.5
A3,R162,2.5
A3,R163,2.5
A3,R164,2.5
A3,R165,2.5
A1,R166,2.5
A1,R167,2.5
A3,R168,2.5
A3,R169,2.5
A3,R170,2.5
A3,R171,2.5
A3,R172,2.5
A3,R173,2.5
A1,R174,2.5
A1,R175,2.5
A3,R176,2.5
A3,R177,2.5
A3,R178,2.5
A3,R179,2.5
A3,R180,2.5
A1,R181,2.5
A1,R182,2.5
A1,R183,2.5
A3,R184,2.5
A3,R185,2.5
A2,R186,2.5
A2,R187,2.5
A3,S88,2.5
A3,S89,2.5
A3,S90,2.5
A3,S91,2.5
A1,S92,2.5
A1,S93,2.5
A3,S94,2.5
A3,S95,2.5
A3,S96,2.5
A3,S97,2.5
A3,S98,2.5
A3,S99,2.5
A1,S100,2.5
A3,S101,2.5
A3,S102,2.5
A3,S103,2.5
A3,S104,2.5
A3,S105,2.5
A3,S106,2.5
A3,S107,2.5
A3,S108,2.5
A3,S109,2.5
A3,S110,2.5
A3,S111,2.5
A3,S112,2.5
A3,S113,2.5
A3,S114,2.5
A3,S115,2.5
A3,S116,2.5
A3,S117,2.5
A3,S118,2.5
A3,S119,2.5
A3,S120,2.5
A3,S121,2.5
A3,S122,2.5
A3,S123,2.5
A3,S124,2.5
A3,S125,2.5
A3,S126,2.5
A3,S127,2.5
A3,S128,2.5
A3,S129,2.5
A3,S130,2.5
A3,S131,2.5
A3,S132,2.5
A3,S133,2.5
A3,S134,2.5
A3,S135,2.5
A3,S136,2.5
A3,S137,2.5
A3,S138,2.5
A3,S139,2.5
A3,S140,2.5
A3,S141,2.5
A3,S142,2.5
A3,S143,2.5
A3,S144,2.5
A3,S145,2.5
A3,S146,2.5
