Source Well,Destination Well,Transfer Volume
A1,AD56,2.5
A3,AD57,2.5
A3,AD58,2.5
A3,AD59,2.5
A3,AD60,2.5
A3,AD61,2.5
A3,AD62,2.5
A3,AD63,2.5
A3,AD64,2.5
A3,AD65,2.5
A3,AD66,2.5
A3,AD67,2.5
A3,AD68,2.5
A3,AD69,2.5
A3,AD70,2.5
A3,AD71,2.5
A3,AD72,2.5
A3,AD73,2.5
A3,AD74,2.5
A3,AD75,2.5
A3,AD76,2.5
A3,AD77,2.5
A3,AD78,2.5
A3,AD79,2.5
A3,AD80,2.5
A3,AD81,2.5
A3,AD82,2.5
A3,AD83,2.5
A3,AD84,2.5
A3,AD85,2.5
A3,AD86,2.5
A3,AD87,2.5
A3,AD88,2.5
A3,AD89,2.5
A3,AD90,2.5
A3,AD91,2.5
A1,AD92,2.5
A1,AD93,2.5
A3,AE54,2.5
A3,AE55,2.5
A3,AE56,2.5
A3,AE57,2.5
A3,AE58,2.5
A3,AE59,2.5
A3,AE60,2.5
A3,AE61,2.5
A3,AE62,2.5
A3,AE63,2.5
A3,AE64,2.5
A3,AE65,2.5
A3,AE66,2.5
A3,AE67,2.5
A3,AE68,2.5
A3,AE69,2.5
A3,AE70,2.5
A3,AE71,2.5
A3,AE72,2.5
A3,AE73,2.5
A3,AE74,2.5
A3,AE75,2.5
A3,AE76,2.5
A3,AE77,2.5
A3,AE78,2.5
A3,AE79,2.5
A3,AE80,2.5
A3,AE81,2.5
A3,AE82,2.5
A3,AE83,2.5
A3,AE84,2.5
A1,AE85,2.5
A1,AE86,2.5
A3,AE87,2.5
A3,AE88,2.5
A3,AE89,2.5
A3,AE90,2.5
A3,AE91,2.5
A1,AE92,2.5
A1,AE93,2.5
A1,AE108,2.5
A1,AE109,2.5
A1,AE110,2.5
A1,AE111,2.5
A1,AE112,2.5
A1,AE113,2.5
A1,AE114,2.5
A3,AF51,2.5
A3,AF52,2.5
A3,AF53,2.5
A3,AF54,2.5
A3,AF55,2.5
A3,AF56,2.5
A3,AF57,2.5
A3,AF58,2.5
A3,AF59,2.5
A3,AF60,2.5
A3,AF61,2.5
A3,AF62,2.5
A3,AF63,2.5
A3,AF64,2.5
A3,AF65,2.5
A3,AF66,2.5
A3,AF67,2.5
A3,AF68,2.5
A3,AF69,2.5
A3,AF70,2.5
A3,AF71,2.5
A3,AF72,2.5
A3,AF73,2.5
A3,AF74,2.5
A3,AF75,2.5
A3,AF76,2.5
A3,AF77,2.5
A3,AF78,2.5
A3,AF79,2.5
A3,AF80,2.5
A3,AF81,2.5
A3,AF82,2.5
A3,AF83,2.5
A3,AF84,2.5
A1,AF85,2.5
A1,AF86,2.5
A2,AF87,2.5
A2,AF88,2.5
A2,AF89,2.5
A2,AF90,2.5
A3,AF91,2.5
A1,AF92,2.5
A1,AF93,2.5
A1,AF107,2.5
A1,AF108,2.5
A1,AF109,2.5
A1,AF110,2.5
A1,AF111,2.5
A1,AF112,2.5
A1,AF113,2.5
A1,AF114,2.5
A1,AF115,2.5
A1,AF116,2.5
A1,AF117,2.5
A1,AG49,2.5
A3,AG50,2.5
A3,AG51,2.5
A3,AG52,2.5
A3,AG53,2.5
A3,AG54,2.5
A3,AG55,2.5
A3,AG56,2.5
A3,AG57,2.5
A3,AG58,2.5
A3,AG59,2.5
A3,AG60,2.5
A3,AG61,2.5
A3,AG62,2.5
A3,AG63,2.5
A3,AG64,2.5
A3,AG65,2.5
A3,AG66,2.5
A3,AG67,2.5
A3,AG68,2.5
A3,AG69,2.5
A3,AG70,2.5
A3,AG71,2.5
A3,AG72,2.5
A3,AG73,2.5
A3,AG74,2.5
A3,AG75,2.5
A3,AG76,2.5
A3,AG77,2.5
A3,AG78,2.5
A3,AG79,2.5
A3,AG80,2.5
A3,AG81,2.5
A3,AG82,2.5
A3,AG83,2.5
A1,AG84,2.5
A1,AG85,2.5
A1,AG86,2.5
A2,AG87,2.5
A2,AG88,2.5
A2,AG89,2.5
A2,AG90,2.5
A2,AG91,2.5
A2,AG92,2.5
A2,AG93,2.5
A2,AG94,2.5
A1,AG106,2.5
A1,AG107,2.5
A1,AG108,2.5
A1,AG109,2.5
A1,AG110,2.5
A3,AG111,2.5
A3,AG112,2.5
A1,AG113,2.5
A1,AG114,2.5
A1,AG115,2.5
A1,AG116,2.5
A1,AG117,2.5
A1,AG118,2.5
A1,AG119,2.5
A1,AG120,2.5
A2,AH46,2.5
A2,AH47,2.5
A3,AH48,2.5
