Source Well,Destination Well,Transfer Volume
A2,Q50,2.5
A2,Q51,2.5
A2,Q52,2.5
A2,Q53,2.5
A2,Q54,2.5
A2,Q55,2.5
A2,Q56,2.5
A2,Q57,2.5
A2,Q58,2.5
A2,Q59,2.5
A1,Q60,2.5
A1,Q61,2.5
A1,Q62,2.5
A1,Q63,2.5
A2,Q64,2.5
A2,Q65,2.5
A2,Q66,2.5
A1,Q67,2.5
A1,Q68,2.5
A1,Q69,2.5
A2,Q70,2.5
A2,Q71,2.5
A2,Q72,2.5
A2,Q73,2.5
A1,Q74,2.5
A2,Q75,2.5
A2,Q76,2.5
A2,Q77,2.5
A2,Q78,2.5
A2,Q79,2.5
A2,Q80,2.5
A2,Q81,2.5
A2,Q82,2.5
A2,Q83,2.5
A2,Q84,2.5
A2,Q85,2.5
A2,Q86,2.5
A2,Q87,2.5
A2,Q88,2.5
A2,Q89,2.5
A2,Q90,2.5
A2,Q91,2.5
A2,Q92,2.5
A2,Q93,2.5
A2,Q94,2.5
A2,Q95,2.5
A2,Q96,2.5
A2,Q97,2.5
A2,Q98,2.5
A2,Q99,2.5
A2,Q100,2.5
A2,Q101,2.5
A2,Q102,2.5
A2,Q103,2.5
A2,Q104,2.5
A2,Q105,2.5
A2,Q106,2.5
A2,Q107,2.5
A2,Q108,2.5
A2,Q109,2.5
A2,Q110,2.5
A2,Q111,2.5
A2,Q112,2.5
A2,Q113,2.5
A2,Q114,2.5
A2,Q115,2.5
A2,Q116,2.5
A2,Q117,2.5
A2,Q118,2.5
A2,Q119,2.5
A2,Q120,2.5
A2,Q121,2.5
A2,Q122,2.5
A2,Q123,2.5
A2,Q124,2.5
A2,Q125,2.5
A2,Q126,2.5
A2,Q127,2.5
A2,Q128,2.5
A2,Q129,2.5
A2,Q130,2.5
A2,Q131,2.5
A2,Q132,2.5
A2,Q133,2.5
A2,Q134,2.5
A2,Q135,2.5
A2,Q136,2.5
A2,Q137,2.5
A2,Q138,2.5
A2,Q139,2.5
A2,Q140,2.5
A2,Q141,2.5
A2,Q142,2.5
A2,Q143,2.5
A2,Q144,2.5
A2,Q145,2.5
A2,Q146,2.5
A2,Q147,2.5
A2,Q148,2.5
A2,R45,2.5
A2,R46,2.5
A2,R47,2.5
A2,R48,2.5
A1,R49,2.5
A2,R50,2.5
A2,R51,2.5
A2,R52,2.5
A2,R53,2.5
A1,R54,2.5
A1,R55,2.5
A1,R56,2.5
A2,R57,2.5
A2,R58,2.5
